,t2,aud,cad,chf,eur,gbp,jpy,nzd,sek,usd,,,,point,t1,t2,aud,cad,chf,eur,gbp,jpy,nzd,sek,usd
,,,,,,,,,,,,,,4y2y,4,6,4.284603689,3.586894519,1.660493047,2.820228791,3.924534876,0.833699265,4.378686193,2.918647493,3.523654615
,,,,,,,,,,,,,,4y3y,4,7,4.37357534,3.626643593,1.678703846,2.845231662,3.874559075,0.932109706,4.385636678,2.928851007,3.535790563
,,,,,,,,,,,,,,4y4y,4,8,4.441370927,3.685240755,1.694006193,2.873336926,3.848406172,1.009293199,4.428245706,2.949317977,3.550317358
,,,,,,,,,,,,,,4y5y,4,9,4.492549233,3.714474108,1.709632082,2.899791306,3.840847823,1.074989743,4.464900323,2.957229961,3.568181588
,,,,,,,,,,,,,,4y6y,4,10,4.526456714,3.73382769,1.726658569,2.931838981,3.847465553,1.137428595,4.499682003,2.976225446,3.586494928
,,,,,,,,,,,,,,4y7y,4,11,4.553969768,3.761335162,1.743565119,2.961914943,3.856932009,1.194691264,4.536422772,2.993184361,3.606242398
,,,,,,,,,,,,,,4y8y,4,12,4.576992339,3.795904605,1.759338204,2.987083504,3.8668611,1.24692328,4.574424319,3.004320729,3.626707609
,,,,,,,,,,,,,,4y9y,4,13,4.59457954,3.833282556,1.773245791,3.006174397,3.876755011,1.295100319,4.612877186,3.01024278,3.646265348
,,,,,,,,,,,,,,4y10y,4,14,4.60585701,3.869385236,1.784522459,3.017666712,3.885535906,1.340058169,4.650674176,3.010895815,3.663091802
,,,,,,,,,,,,,,4y11y,4,15,4.609988733,3.900222562,1.792384592,3.019848022,3.891809554,1.382556023,4.68654591,3.005863456,3.675254922
,,,,,,,,,,,,,,4y12y,4,16,4.606450192,3.922697981,1.79632436,3.011674839,3.894466384,1.422995173,4.719506724,2.994878386,3.681255042
,,,,,,,,,,,,,,4y13y,4,17,4.595842987,3.936972853,1.796928938,2.995039005,3.894088238,1.460545839,4.749967158,2.978928607,3.681459473
,,,,,,,,,,,,,,4y14y,4,18,4.578965574,3.943775409,1.794967611,2.972296652,3.891489902,1.494157774,4.778546394,2.959153253,3.676533094
,,,,,,,,,,,,,,4y15y,4,19,4.556545121,3.943624807,1.791130574,2.945567003,3.887313024,1.52285297,4.805737983,2.936540177,3.666992279
,,,,,,,,,,,,,,4y16y,4,20,4.529259797,3.936896353,1.786053684,2.91680684,3.882080239,1.545703017,4.831949094,2.911973285,3.653251288
,,,,,,,,,,,,,,4y17y,4,21,4.497876731,3.924056042,1.780260436,2.887615537,3.876169275,1.562160759,4.857405183,2.886240468,3.635785575
,,,,,,,,,,,,,,4y18y,4,22,4.463621784,3.906249569,1.773956785,2.858558055,3.869658678,1.573060006,4.881814997,2.859987813,3.61554043
,,,,,,,,,,,,,,4y19y,4,23,4.427801174,3.884722197,1.767269269,2.829944455,3.862533654,1.579528343,4.904758685,2.833804345,3.593529207
,,,,,,,,,,,,,,4y20y,4,24,4.39168655,3.86064617,1.760321802,2.802080582,3.85475624,1.582647264,4.925812822,2.808253784,3.570713884
,,,,,,,,,,,,,,4y21y,4,25,4.356523329,3.835138282,1.753236306,2.7752691,3.846270805,1.583463213,4.944551259,2.783880597,3.548017353
,,,,,,,,,,,,,,4y22y,4,26,4.323264235,3.809110954,1.746115728,2.749712286,3.837042212,1.582886381,4.960714688,2.76106353,3.526149146
,,,,,,,,,,,,,,4y23y,4,27,4.291770629,3.782805052,1.738992996,2.72522386,3.827159424,1.581374801,4.974708835,2.739574287,3.505072141
,,,,,,,,,,,,,,4y24y,4,28,4.261654567,3.756294422,1.731884949,2.701530807,3.816732615,1.579275094,4.987084627,2.719044274,3.484571368
,,,,,,,,,,,,,,4y25y,4,29,4.232549988,3.729650604,1.724809717,2.678370259,3.805861199,1.576933501,4.998371916,2.699115176,3.464438377
,,,,,,,,,,,,,,4y26y,4,30,4.204108496,3.702943288,1.717786475,2.655487532,3.794635902,1.574695962,5.009083529,2.679436975,3.444469974
,,,,,,,,,,,,,,5y1y,5,6,4.40416108,3.657981364,1.697773479,2.844678222,3.846464081,0.934652556,4.506102304,2.927507241,3.547450443
,,,,,,,,,,,,,,5y2y,5,7,4.477839861,3.682061552,1.706449462,2.869957813,3.810535777,1.031791572,4.452819976,2.938382638,3.553756451
,,,,,,,,,,,,,,5y3y,5,8,4.533479137,3.741718449,1.717604052,2.899189448,3.797006339,1.101475608,4.487237581,2.962494721,3.567136881
,,,,,,,,,,,,,,5y4y,5,9,4.574424966,3.764140716,1.731236948,2.925794292,3.80040836,1.160550685,4.518307884,2.969090515,3.585262289
,,,,,,,,,,,,,,5y5y,5,10,4.598738797,3.777431693,1.74734776,2.959050905,3.816437529,1.218365119,4.549364388,2.989512986,3.603822157
,,,,,,,,,,,,,,5y6y,5,11,4.618790347,3.80225641,1.76362387,2.989604207,3.832653065,1.271682145,4.58394822,3.007083797,3.623973
,,,,,,,,,,,,,,5y7y,5,12,4.635841774,3.835918453,1.778784717,3.014412667,3.847469019,1.320377181,4.62058921,3.017825441,3.644828869
,,,,,,,,,,,,,,5y8y,5,13,4.648271196,3.872966916,1.791999938,3.032473777,3.861023678,1.365394612,4.658078074,3.022799659,3.664566168
,,,,,,,,,,,,,,5y9y,5,14,4.654835977,3.908671632,1.802445775,3.042320862,3.872528154,1.407537302,4.695052408,3.022130045,3.681228804
,,,,,,,,,,,,,,5y10y,5,15,4.654482977,3.938664051,1.80930179,3.042254888,3.880729943,1.447537028,4.730073493,3.015471027,3.692794535
,,,,,,,,,,,,,,5y11y,5,16,4.646577818,3.959688009,1.812061791,3.031301701,3.884635539,1.4857451,4.762073691,3.002613898,3.697745611
,,,,,,,,,,,,,,5y12y,5,17,4.631742711,3.972069951,1.811405299,3.011643976,3.885045119,1.521195828,4.791525248,2.984690345,3.696592863
